epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,3725.97,1.20441,0.79595,1.14652,0.62274,0.56414,0.56332,0.33307,1.50444,0.91122,1.13597,0.00352037,0.00352037,0.00352037
74,3771.93,1.15395,0.76549,1.12537,0.67926,0.51927,0.55764,0.32778,1.51293,0.9307,1.14061,0.00339766,0.00339766,0.00339766
75,3818.54,1.19899,0.77946,1.11815,0.65502,0.52635,0.55987,0.33818,1.5031,0.9163,1.13991,0.00327608,0.00327608,0.00327608
76,3865.2,1.17399,0.76446,1.12373,0.64629,0.53697,0.56227,0.34082,1.50088,0.91947,1.13415,0.00315572,0.00315572,0.00315572
77,3911.7,1.17253,0.75363,1.11889,0.69285,0.53076,0.57185,0.34022,1.49941,0.92563,1.13336,0.00303665,0.00303665,0.00303665
78,3964.52,1.15732,0.74573,1.11605,0.63774,0.53747,0.55926,0.33332,1.49655,0.92603,1.12661,0.00291897,0.00291897,0.00291897
79,4014.58,1.17081,0.75624,1.12704,0.60689,0.55965,0.56874,0.33649,1.49991,0.92338,1.12804,0.00280275,0.00280275,0.00280275
80,4063.18,1.16481,0.75178,1.10846,0.70047,0.51094,0.55947,0.33946,1.48391,0.91565,1.12025,0.00268806,0.00268806,0.00268806
81,4109.61,1.15208,0.73171,1.12242,0.66574,0.51856,0.56372,0.33541,1.49233,0.90468,1.12538,0.002575,0.002575,0.002575
82,4157.15,1.15463,0.73999,1.10914,0.67588,0.5422,0.5657,0.34135,1.47717,0.90413,1.12074,0.00246363,0.00246363,0.00246363
83,4203.67,1.15029,0.73633,1.11186,0.6838,0.52131,0.57085,0.33928,1.48479,0.90688,1.12654,0.00235404,0.00235404,0.00235404
84,4249.85,1.14858,0.72239,1.10534,0.71475,0.53063,0.58134,0.34517,1.48034,0.91131,1.11969,0.00224629,0.00224629,0.00224629
85,4297.77,1.13477,0.71151,1.10731,0.689,0.50679,0.55345,0.32988,1.48527,0.91487,1.12295,0.00214046,0.00214046,0.00214046
86,4347.78,1.14761,0.72292,1.10298,0.64821,0.51069,0.55531,0.33035,1.49947,0.9305,1.12996,0.00203663,0.00203663,0.00203663
